car_location,car_mileage,car_link,car_name,car_price,car_license
大连,13.5万公里,https://www.guazi.com/dl/c77f0a5a244e9d31x.htm#fr_page=list&fr_pos=city&fr_no=20,现代悦动 2010款 1.6L MT GLS,3.90万,2010年
广州,2.6万公里,https://www.guazi.com/gz/10d109b362a6674ex.htm#fr_page=list&fr_pos=city&fr_no=21,纳智捷优6 SUV 2015款 1.8T 时尚升级型,9.28万,2016年
成都,5.7万公里,https://www.guazi.com/cd/acb3002a394cb329x.htm#fr_page=list&fr_pos=city&fr_no=22,哈弗H6 2013款 升级版 1.5T 手动两驱精英型,6.88万,2014年
天津,9.2万公里,https://www.guazi.com/tj/e942c7a598c6b189x.htm#fr_page=list&fr_pos=city&fr_no=23,大众高尔夫 2011款 1.6 手动时尚型,5.40万,2011年
大连,9.5万公里,https://www.guazi.com/dl/c5a8aabd88068dfbx.htm#fr_page=list&fr_pos=city&fr_no=24,大众高尔夫 2011款 1.4TSI 舒适旅行版(进口),10.78万,2012年
金华,7.9万公里,https://www.guazi.com/jinhua/1c0377016e0ebe1ax.htm#fr_page=list&fr_pos=city&fr_no=25,大众途观 2013款 1.8TSI 自动两驱风尚版,13.70万,2013年
廊坊,3.0万公里,https://www.guazi.com/langfang/5d05a06fb1843c40x.htm#fr_page=list&fr_pos=city&fr_no=26,东南V3菱悦 2015款 1.5L 手动幸福版,4.15万,2015年
长春,4.1万公里,https://www.guazi.com/cc/5122452a87a7a2a4x.htm#fr_page=list&fr_pos=city&fr_no=27,马自达6 2014款 2.0L 自动经典型,8.60万,2014年
成都,1.8万公里,https://www.guazi.com/cd/48ac36ba7ae21901x.htm#fr_page=list&fr_pos=city&fr_no=28,比亚迪S7 2016款 2.0T 自动旗舰型,9.78万,2015年
青岛,14.0万公里,https://www.guazi.com/qd/2ab6974e0344d5a6x.htm#fr_page=list&fr_pos=city&fr_no=29,沃尔沃XC60 2012款 2.0T T5 舒适版(进口),18.20万,2012年
镇江,5.7万公里,https://www.guazi.com/zhenjiang/349df662ff2156abx.htm#fr_page=list&fr_pos=city&fr_no=30,大众捷达 2013款 1.6L 手动时尚型,5.60万,2014年
包头,5.6万公里,https://www.guazi.com/baotou/a127ae77be86c6dbx.htm#fr_page=list&fr_pos=city&fr_no=31,大众帕萨特 2013款 1.8TSI DSG御尊版,13.99万,2013年
达州,5.8万公里,https://www.guazi.com/dazhou/2b75dde644da3650x.htm#fr_page=list&fr_pos=city&fr_no=32,福特福克斯 2009款 三厢 1.8L 自动时尚型,4.38万,2010年
常州,12.7万公里,https://www.guazi.com/changzhou/5e220e600da293fcx.htm#fr_page=list&fr_pos=city&fr_no=33,奔驰S级 2010款 S 300 L 商务型(进口),33.28万,2010年
惠州,2.3万公里,https://www.guazi.com/huizhou/7e900796607f39c5x.htm#fr_page=list&fr_pos=city&fr_no=34,雪佛兰科帕奇 2014款 2.4L 两驱城市版 5座,13.00万,2015年
长春,9.0万公里,https://www.guazi.com/cc/1416d171e92ff4f6x.htm#fr_page=list&fr_pos=city&fr_no=35,沃尔沃XC60 2013款 2.0T T5 智雅版(进口),21.80万,2013年
沈阳,6.8万公里,https://www.guazi.com/sy/23e65fb5ebecc88dx.htm#fr_page=list&fr_pos=city&fr_no=36,现代索纳塔八 2013款 2.0L 自动豪华版,9.75万,2013年
沈阳,3.9万公里,https://www.guazi.com/sy/137d200111e4a7fex.htm#fr_page=list&fr_pos=city&fr_no=37,别克GL8 2014款 2.4L 经典版,13.63万,2014年
沈阳,2.9万公里,https://www.guazi.com/sy/97c6024a814cc5a7x.htm#fr_page=list&fr_pos=city&fr_no=38,斯柯达晶锐 2014款 1.4L 手动晶致版,4.48万,2014年
芜湖,5.3万公里,https://www.guazi.com/wuhu/35e85baa6beba6e8x.htm#fr_page=list&fr_pos=city&fr_no=39,雪佛兰科鲁兹 2010款 1.6L SL天地版 MT,3.50万,2010年
临沂,1.6万公里,https://www.guazi.com/linyi/98866a726ae5aa67x.htm#fr_page=list&fr_pos=city&fr_no=0,别克凯越 2015款 1.5L 自动经典型,6.50万,2016年
武汉,3.1万公里,https://www.guazi.com/wh/9c8f3dc404267112x.htm#fr_page=list&fr_pos=city&fr_no=1,本田思域 2016款 1.8L 手动舒适版,9.00万,2016年
苏州,7.8万公里,https://www.guazi.com/su/732440c4b30a541ax.htm#fr_page=list&fr_pos=city&fr_no=2,福特蒙迪欧 2013款 2.0L GTDi200时尚型,13.80万,2013年
临沂,1.9万公里,https://www.guazi.com/linyi/f11642fe7040bbc9x.htm#fr_page=list&fr_pos=city&fr_no=3,斯柯达明锐 2017款 1.6L 自动智行版,11.00万,2017年
保定,1.2万公里,https://www.guazi.com/baoding/afeafbeda782b028x.htm#fr_page=list&fr_pos=city&fr_no=4,荣威RX5 2016款 20T 两驱互联网智享版,11.68万,2016年
石家庄,12.3万公里,https://www.guazi.com/sjz/4667de51e1b0a94ax.htm#fr_page=list&fr_pos=city&fr_no=5,奥迪Q7 2011款 3.0 TFSI 舒适型(245kW)(进口),38.00万,2012年
惠州,7.8万公里,https://www.guazi.com/huizhou/4f29eecb9a0b97a6x.htm#fr_page=list&fr_pos=city&fr_no=6,东风风行景逸X5 2013款 1.6L 手动尊享型 国IV,4.28万,2014年
上海,5.5万公里,https://www.guazi.com/sh/a531e8a4ef0b9970x.htm#fr_page=list&fr_pos=city&fr_no=7,斯柯达速派 2013款 1.4TSI 手动绅仕版,9.30万,2014年
唐山,10.0万公里,https://www.guazi.com/tangshan/70ad355ff34873dfx.htm#fr_page=list&fr_pos=city&fr_no=8,铃木北斗星 2008款 1.4L 手动STD,1.50万,2009年
威海,8.6万公里,https://www.guazi.com/wei/ae9b173caab5411fx.htm#fr_page=list&fr_pos=city&fr_no=9,大众途观 2010款 1.8TSI 自动两驱风尚版,12.00万,2011年
烟台,5.0万公里,https://www.guazi.com/yantai/f25421ea8b77786ex.htm#fr_page=list&fr_pos=city&fr_no=10,长城M4 2013款 1.5L 春节限量版,4.20万,2013年
石家庄,2.8万公里,https://www.guazi.com/sjz/c6400f29740cb292x.htm#fr_page=list&fr_pos=city&fr_no=11,比亚迪F3 2015款 节能版 1.5L 手动豪华型,3.45万,2015年
佳木斯,3.4万公里,https://www.guazi.com/jiamusi/7aae3b4e9d394d9dx.htm#fr_page=list&fr_pos=city&fr_no=12,路虎揽胜 2014款 3.0 V6 SC Vogue(进口),108.00万,2014年
北京,7.5万公里,https://www.guazi.com/bj/106cfb2af680deafx.htm#fr_page=list&fr_pos=city&fr_no=13,斯巴鲁森林人 2010款 2.5XS 自动豪华版,12.90万,2010年
哈尔滨,0.5万公里,https://www.guazi.com/hrb/ef9c078ef4ecc27ax.htm#fr_page=list&fr_pos=city&fr_no=14,五菱宏光 2014款 1.5L S标准型,4.80万,2017年
淄博,9.3万公里,https://www.guazi.com/zibo/db9efddb50e108edx.htm#fr_page=list&fr_pos=city&fr_no=15,雪佛兰乐风 2007款 1.4 SL AT,2.85万,2009年
成都,0.1万公里,https://www.guazi.com/cd/a616b94f8d34e391x.htm#fr_page=list&fr_pos=city&fr_no=16,北汽幻速H3F 2016款 H3F 1.5L 手动尊贵型,6.00万,2017年
重庆,9.0万公里,https://www.guazi.com/cq/437470b49678a759x.htm#fr_page=list&fr_pos=city&fr_no=17,三菱欧蓝德 2013款 2.4L 四驱豪华导航版 5座(进口),15.80万,2014年
深圳,1.2万公里,https://www.guazi.com/sz/f20a8d90d0e64556x.htm#fr_page=list&fr_pos=city&fr_no=18,奔驰A级 2013款 A 180 时尚型(进口),16.50万,2013年
柳州,0.2万公里,https://www.guazi.com/liuzhou/fe2d22de12b8f04fx.htm#fr_page=list&fr_pos=city&fr_no=19,马自达昂克赛拉 2017款 三厢 1.5L 自动豪华型,12.98万,2017年
乌鲁木齐,7.4万公里,https://www.guazi.com/xj/6ed9ac8e3a2d08f3x.htm#fr_page=list&fr_pos=city&fr_no=20,宝马7系 2011款 730Li典雅型(进口),40.10万,2012年
唐山,10.8万公里,https://www.guazi.com/tangshan/4b2d5a5124634a4dx.htm#fr_page=list&fr_pos=city&fr_no=21,五菱之光 2010款 1.0L新版实用型短车身L2Y,1.39万,2010年
杭州,5.3万公里,https://www.guazi.com/hz/d4c2065391c6c4c3x.htm#fr_page=list&fr_pos=city&fr_no=22,奔驰GLK级 2011款 GLK 300 4MATIC 时尚型(进口),35.00万,2012年
惠州,6.3万公里,https://www.guazi.com/huizhou/39b7e426e2ff0bcfx.htm#fr_page=list&fr_pos=city&fr_no=23,日产骐达 2011款 1.6L CVT智能型,7.80万,2011年
天津,2.8万公里,https://www.guazi.com/tj/8aef6b8254a1bb4dx.htm#fr_page=list&fr_pos=city&fr_no=24,五菱荣光 2011款 1.2L标准型,1.55万,2011年
成都,0.9万公里,https://www.guazi.com/cd/05dfa48eea165a48x.htm#fr_page=list&fr_pos=city&fr_no=25,吉利帝豪 2017款 三厢百万款 1.5L CVT向上版,6.70万,2016年
兰州,5.0万公里,https://www.guazi.com/lz/12a3089bc74eef6cx.htm#fr_page=list&fr_pos=city&fr_no=26,长安逸动 2013款 1.6L 手动尊贵型 国V,4.56万,2014年
东莞,4.4万公里,https://www.guazi.com/dg/0e50bc7f99386896x.htm#fr_page=list&fr_pos=city&fr_no=27,比亚迪宋 2016款 1.5TI 手动尊贵型,8.60万,2016年
珠海,5.3万公里,https://www.guazi.com/zhuhai/35608bb2a03c5c64x.htm#fr_page=list&fr_pos=city&fr_no=28,丰田凯美瑞 2012款 2.0G 豪华导航版,13.30万,2013年
沈阳,4.7万公里,https://www.guazi.com/sy/bf89f926a34eca5ex.htm#fr_page=list&fr_pos=city&fr_no=29,五菱之光 2013款 1.0L 实用型,2.20万,2014年
成都,6.4万公里,https://www.guazi.com/cd/cd8c9004b724fb0cx.htm#fr_page=list&fr_pos=city&fr_no=30,奥迪A6L 2012款 35 FSI 舒适型,31.00万,2014年
成都,2.2万公里,https://www.guazi.com/cd/55265350bafd2d59x.htm#fr_page=list&fr_pos=city&fr_no=31,别克昂科威 2016款 20T 两驱精英型,18.00万,2015年
武汉,0.8万公里,https://www.guazi.com/wh/2f2074d407ebb3a6x.htm#fr_page=list&fr_pos=city&fr_no=32,宝马3系 2016款 320Li 时尚型,26.50万,2016年
西安,3.3万公里,https://www.guazi.com/xa/1843ecba393dda9bx.htm#fr_page=list&fr_pos=city&fr_no=33,日产逍客 2016款 2.0L CVT豪华版,13.57万,2016年
泉州,5.5万公里,https://www.guazi.com/quanzhou/45ae604a82947d62x.htm#fr_page=list&fr_pos=city&fr_no=34,本田飞度 2011款 1.3L 手动舒适版,5.78万,2014年
兰州,4.0万公里,https://www.guazi.com/lz/03807de8208cdd2fx.htm#fr_page=list&fr_pos=city&fr_no=35,大众帕萨特 2016款 280TSI DSG尊荣版,17.00万,2016年
佛山,11.2万公里,https://www.guazi.com/foshan/1ce0d794a02fa338x.htm#fr_page=list&fr_pos=city&fr_no=36,东南V3菱悦 2012款 1.5L 手动幸福版,3.15万,2012年
宿迁,3.1万公里,https://www.guazi.com/suqian/af26bd15e4800aa8x.htm#fr_page=list&fr_pos=city&fr_no=37,北京BJ40 2014款 2.4L 手动穿越版,8.15万,2015年
上海,9.2万公里,https://www.guazi.com/sh/b67930e3eb399215x.htm#fr_page=list&fr_pos=city&fr_no=38,奥迪A4L 2013款 35 TFSI 自动标准型,18.50万,2013年
许昌,10.2万公里,https://www.guazi.com/xuchang/772510fb581fd8bbx.htm#fr_page=list&fr_pos=city&fr_no=39,大众迈腾 2012款 改款 2.0TSI 豪华型,12.98万,2012年
泸州,2.6万公里,https://www.guazi.com/luzhou/afda53c9f9aa7efex.htm#fr_page=list&fr_pos=city&fr_no=0,标致308 2014款 乐享版 经典 1.6L 自动风尚型,6.90万,2015年
成都,14.0万公里,https://www.guazi.com/cd/c18ec0f30d3804a3x.htm#fr_page=list&fr_pos=city&fr_no=1,奥迪A6L 2010款 2.8 FSI 舒适型,16.30万,2010年
扬州,5.1万公里,https://www.guazi.com/yangzhou/c158033a9906681ex.htm#fr_page=list&fr_pos=city&fr_no=2,宝马X4 2014款 xDrive35i M运动型(进口),55.00万,2015年
长沙,12.7万公里,https://www.guazi.com/cs/1a376ed59221943ex.htm#fr_page=list&fr_pos=city&fr_no=3,纳智捷大7 SUV 2011款 2.2T 四驱智尊型,8.08万,2012年
北京,5.0万公里,https://www.guazi.com/bj/c0a48ca0b798343ax.htm#fr_page=list&fr_pos=city&fr_no=4,奇瑞瑞虎3 2014款 1.6L 手动智尚版,5.00万,2015年
北京,6.3万公里,https://www.guazi.com/bj/01e3817d37492fdex.htm#fr_page=list&fr_pos=city&fr_no=5,大众高尔夫 2012款 1.4TSI 自动豪华型,10.50万,2013年
南昌,1.0万公里,https://www.guazi.com/nc/c387a7cfe0d0e637x.htm#fr_page=list&fr_pos=city&fr_no=6,哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,9.20万,2015年
广州,5.7万公里,https://www.guazi.com/gz/2d22fe6c6118697ex.htm#fr_page=list&fr_pos=city&fr_no=7,铃木利亚纳 2013款 两厢 1.4L 手动标准型A,2.98万,2013年
重庆,1.2万公里,https://www.guazi.com/cq/58b0737531ff0595x.htm#fr_page=list&fr_pos=city&fr_no=8,雪铁龙爱丽舍 2016款 1.6L 手动时尚型,5.70万,2016年
长沙,3.5万公里,https://www.guazi.com/cs/a6b57a8749587b18x.htm#fr_page=list&fr_pos=city&fr_no=9,大众朗逸 2015款 230TSI DSG舒适版,10.38万,2015年
德阳,7.9万公里,https://www.guazi.com/deyang/492a2ccc83f94f16x.htm#fr_page=list&fr_pos=city&fr_no=10,马自达3星骋 2012款 两厢 1.6L 手动舒适型,4.50万,2012年
南宁,2.9万公里,https://www.guazi.com/nn/2a969e297d59d1f8x.htm#fr_page=list&fr_pos=city&fr_no=11,日产阳光 2016款 1.5XE 手动领先版,6.28万,2016年
大连,8.2万公里,https://www.guazi.com/dl/a3841757beb645d2x.htm#fr_page=list&fr_pos=city&fr_no=12,标致308 2012款 1.6L 手动风尚型,5.20万,2012年
重庆,3.0万公里,https://www.guazi.com/cq/b9dde011ae2d70f7x.htm#fr_page=list&fr_pos=city&fr_no=13,福特锐界 2016款 EcoBoost 245 四驱尊锐型 7座,29.00万,2016年
中山,3.5万公里,https://www.guazi.com/zhongshan/9f8813934fae3b38x.htm#fr_page=list&fr_pos=city&fr_no=14,福特嘉年华 2013款 两厢 1.5L 自动时尚型,6.80万,2015年
济宁,10.9万公里,https://www.guazi.com/jining/28b005e14f2da196x.htm#fr_page=list&fr_pos=city&fr_no=15,宝马5系 2012款 523Li 豪华型,26.30万,2012年
南充,7.4万公里,https://www.guazi.com/nanchong/211375ce4029ccfax.htm#fr_page=list&fr_pos=city&fr_no=16,标致307 2010款 三厢 1.6L 自动舒适版,3.60万,2010年
保定,3.2万公里,https://www.guazi.com/baoding/c5c6c4001938ab9ex.htm#fr_page=list&fr_pos=city&fr_no=17,日产逍客 2012款 1.6XE 风 5MT 2WD,8.90万,2015年
包头,2.8万公里,https://www.guazi.com/baotou/a427a8e51d6ba592x.htm#fr_page=list&fr_pos=city&fr_no=18,福特嘉年华 2013款 三厢 1.5L 自动时尚型,6.10万,2013年
青岛,2.7万公里,https://www.guazi.com/qd/b2d21b4018ad180ax.htm#fr_page=list&fr_pos=city&fr_no=19,Jeep大切诺基 2015款 3.0L 舒享导航版(进口),40.00万,2016年
湖州,7.8万公里,https://www.guazi.com/huzhou/9a8393dec1979984x.htm#fr_page=list&fr_pos=city&fr_no=20,丰田汉兰达 2012款 2.7L 两驱5座精英版,18.00万,2013年
聊城,0.2万公里,https://www.guazi.com/liaocheng/d9a5f7d53d178b91x.htm#fr_page=list&fr_pos=city&fr_no=21,中华V3 2016款 1.5L 手动精英型,4.98万,2017年
沈阳,6.2万公里,https://www.guazi.com/sy/d3ca6b770d47ea52x.htm#fr_page=list&fr_pos=city&fr_no=22,日产逍客 2012款 1.6XE 风 5MT 2WD,6.98万,2012年
沈阳,2.6万公里,https://www.guazi.com/sy/92acc17974003d51x.htm#fr_page=list&fr_pos=city&fr_no=23,大众高尔夫 2014款 1.4TSI 手动舒适型,8.98万,2014年
广州,11.4万公里,https://www.guazi.com/gz/38e2f9a6d178762cx.htm#fr_page=list&fr_pos=city&fr_no=24,别克君越 2010款 2.4L雅致版,10.80万,2011年
苏州,4.2万公里,https://www.guazi.com/su/03dd71e241bcadc7x.htm#fr_page=list&fr_pos=city&fr_no=25,东风风行风行CM7 2014款 2.4L 手动公务型,7.50万,2015年
绍兴,4.2万公里,https://www.guazi.com/shaoxing/9a91e3d496123897x.htm#fr_page=list&fr_pos=city&fr_no=26,三菱劲炫ASX 2013款 2.0L CVT两驱豪华版,9.50万,2014年
曲靖,4.1万公里,https://www.guazi.com/qujing/a44f35893dde73cax.htm#fr_page=list&fr_pos=city&fr_no=27,长安商用欧诺 2014款 1.3L幸福型,2.58万,2015年
沈阳,1.3万公里,https://www.guazi.com/sy/b53ca37279bd6ebcx.htm#fr_page=list&fr_pos=city&fr_no=28,江淮瑞风 2011款 2.4L政采版 手动豪华型,9.00万,2015年
南京,13.3万公里,https://www.guazi.com/nj/2f72424dd65fdb5dx.htm#fr_page=list&fr_pos=city&fr_no=29,大众迈腾 2009款 1.8TSI DSG豪华型,7.20万,2009年
南充,6.1万公里,https://www.guazi.com/nanchong/b8100fdc54ccda14x.htm#fr_page=list&fr_pos=city&fr_no=30,标致3008 2013款 2.0L 自动潮流版,10.00万,2013年
湘潭,9.2万公里,https://www.guazi.com/xiangtan/1e288a8a0073c218x.htm#fr_page=list&fr_pos=city&fr_no=31,起亚索兰托 2012款 2.4L 汽油豪华版(进口),11.98万,2012年
湖州,3.3万公里,https://www.guazi.com/huzhou/7a81c452e63acb4ax.htm#fr_page=list&fr_pos=city&fr_no=32,比亚迪F0 2012款 1.0L 铉酷型,1.55万,2013年
资阳,7.3万公里,https://www.guazi.com/ziyang/9106e2f5e0ce55c6x.htm#fr_page=list&fr_pos=city&fr_no=33,力帆620 2010款 铂尊版 1.5L 手动精英型,1.60万,2009年
烟台,6.1万公里,https://www.guazi.com/yantai/591c403f62619538x.htm#fr_page=list&fr_pos=city&fr_no=34,大众迈腾 2013款 2.0TSI 豪华型,16.88万,2014年
重庆,7.9万公里,https://www.guazi.com/cq/f64bda07d96200dcx.htm#fr_page=list&fr_pos=city&fr_no=35,奇瑞瑞虎 2012款 精英版 1.6L 手动舒适型DVVT,3.28万,2012年
苏州,3.6万公里,https://www.guazi.com/su/55f6d016a182f4afx.htm#fr_page=list&fr_pos=city&fr_no=36,大众朗逸 2015款 1.6L 手动舒适版,8.00万,2015年
深圳,5.8万公里,https://www.guazi.com/sz/68c9fd442d77809dx.htm#fr_page=list&fr_pos=city&fr_no=37,现代途胜 2013款 2.0L 自动两驱舒适型,9.30万,2014年
上海,3.6万公里,https://www.guazi.com/sh/f7d53bff1ecc6228x.htm#fr_page=list&fr_pos=city&fr_no=38,别克君越 2010款 2.4L豪华版,10.00万,2010年
广安,2.4万公里,https://www.guazi.com/guangan/8d4b1e014875881bx.htm#fr_page=list&fr_pos=city&fr_no=39,奇瑞风云2 2016款 1.5L 手动超值版,3.30万,2016年
天津,7.3万公里,https://www.guazi.com/tj/806fa77356e37a9cx.htm#fr_page=list&fr_pos=city&fr_no=0,吉利海景 2011款 新锐版 1.5L 手动舒适型,1.80万,2011年
唐山,1.8万公里,https://www.guazi.com/tangshan/b792d41933f2b269x.htm#fr_page=list&fr_pos=city&fr_no=1,现代瑞纳 2014款 1.4L 自动领先型GLX,7.50万,2014年
成都,7.8万公里,https://www.guazi.com/cd/4a9f2575d7cab4c1x.htm#fr_page=list&fr_pos=city&fr_no=2,长安悦翔 2012款 三厢 1.5L 手动豪华型,3.00万,2012年
中山,5.4万公里,https://www.guazi.com/zhongshan/a1cb604df5f3111dx.htm#fr_page=list&fr_pos=city&fr_no=3,海马S5 2014款 1.6L 手动智乐型,5.68万,2014年
德阳,5.1万公里,https://www.guazi.com/deyang/8f59f8293950f680x.htm#fr_page=list&fr_pos=city&fr_no=4,Jeep自由光 2016款 2.4L 优越版,20.20万,2015年
苏州,4.2万公里,https://www.guazi.com/su/220d70bd8d8c4752x.htm#fr_page=list&fr_pos=city&fr_no=5,东风风行菱智 2015款 M3 1.6L 7座豪华型,4.68万,2015年
无锡,9.3万公里,https://www.guazi.com/wx/a1fc8fde762aa014x.htm#fr_page=list&fr_pos=city&fr_no=0,标致307 2007款 改款 1.6L 手动舒适版,2.52万,2009年
合肥,6.5万公里,https://www.guazi.com/hf/46e38203eb558717x.htm#fr_page=list&fr_pos=city&fr_no=6,五菱宏光 2010款 1.4L 舒适型,2.90万,2013年
吉林,11.2万公里,https://www.guazi.com/jilin/b3dc80012add8ff3x.htm#fr_page=list&fr_pos=city&fr_no=1,大众POLO 2008款 劲取 1.4L 手动雅致版,3.00万,2009年
蚌埠,2.4万公里,https://www.guazi.com/bengbu/bdd72f98460d3997x.htm#fr_page=list&fr_pos=city&fr_no=2,奇瑞E3 2015款 1.5L 手动智尚型,3.60万,2015年
沧州,5.4万公里,https://www.guazi.com/cangzhou/9315254a30398c12x.htm#fr_page=list&fr_pos=city&fr_no=7,大众帕萨特 2015款 1.8TSI DSG御尊版,15.90万,2015年
太原,4.2万公里,https://www.guazi.com/ty/d54551e26c45cdc1x.htm#fr_page=list&fr_pos=city&fr_no=3,现代名图 2014款 1.8L 自动尊贵型DLX,11.20万,2014年
石家庄,5.2万公里,https://www.guazi.com/sjz/645f958991b9dc6dx.htm#fr_page=list&fr_pos=city&fr_no=8,哈弗H6 2014款H6 1.5T 运动版 手动两驱精英,8.28万,2014年
衡水,2.4万公里,https://www.guazi.com/hengshui/270d24b015d6052fx.htm#fr_page=list&fr_pos=city&fr_no=4,标致408 2014款 1.8L 手动领先版,8.30万,2015年
兰州,4.7万公里,https://www.guazi.com/lz/c3745e43403b7d5ex.htm#fr_page=list&fr_pos=city&fr_no=9,标致207 2010款 三厢 1.4L 手动驭乐版,2.60万,2010年
合肥,4.4万公里,https://www.guazi.com/hf/0c6f924e714ff826x.htm#fr_page=list&fr_pos=city&fr_no=5,江淮瑞风S3 2014款 1.5L 手动豪华智能型,4.30万,2015年
武汉,7.3万公里,https://www.guazi.com/wh/64aa3c9c2963eed4x.htm#fr_page=list&fr_pos=city&fr_no=10,雪铁龙C4L 2014款 1.6THP 智驱版 自动劲智型,9.20万,2014年
淄博,0.8万公里,https://www.guazi.com/zibo/4e57e52a7b15598dx.htm#fr_page=list&fr_pos=city&fr_no=6,大众朗行 2015款 1.6L 手动风尚版,8.80万,2017年
唐山,11.2万公里,https://www.guazi.com/tangshan/62b9d4ac01ba9621x.htm#fr_page=list&fr_pos=city&fr_no=7,斯柯达昊锐 2009款 1.8TSI 手动智雅版,7.00万,2011年
深圳,6.9万公里,https://www.guazi.com/sz/01c97d8a441421aax.htm#fr_page=list&fr_pos=city&fr_no=11,丰田花冠 2011款 1.6L 自动经典版,5.88万,2011年
长春,3.0万公里,https://www.guazi.com/cc/985b5925dc1e00a0x.htm#fr_page=list&fr_pos=city&fr_no=8,哈弗H1 2016款 蓝标 1.5L AMT豪华型,5.80万,2016年
南京,5.6万公里,https://www.guazi.com/nj/6822adedf9097e91x.htm#fr_page=list&fr_pos=city&fr_no=9,荣威550 2012款 550 1.8L 自动超值版,5.50万,2012年
南京,3.5万公里,https://www.guazi.com/nj/b08d37287bb8bfb4x.htm#fr_page=list&fr_pos=city&fr_no=10,雪佛兰爱唯欧 2011款 三厢 1.6L AT SX,4.65万,2011年
重庆,4.7万公里,https://www.guazi.com/cq/3d9d3eea538cd341x.htm#fr_page=list&fr_pos=city&fr_no=0,别克凯越 2011款 1.6LE-MT,4.40万,2012年
